GHGRP FACILITY ID,FRS ID (FACILITY),REPORTING YEAR,FACILITY NAME,FACILITY ADDRESS,FACILITY CITY,FACILITY STATE,FACILITY ZIP,FACILITY COUNTY,LISTED,PARENT COMPANY NAME,PARENT CO. STREET ADDRESS,PARENT CO. CITY,PARENT CO. STATE,PARENT CO. ZIP,PARENT CO. PERCENT OWNERSHIP,FACILITY NAICS CODE
1001536,110037247912,2022,Petersburg,6925 NORTH STATE ROAD 57,PETERSBURG,IN,47567,Pike,1,AES CORP,4300 Wilson Boulevard,Arlington,VA,22203,100,221112
1005310,110071162472,2022,AES - PUERTO RICO COGENERATION PLANT,"KM 142, RTE. #3 BO. JOBOS",GUAYAMA,PR,00785,GUAYAMA MUNICIPIO,1,AES CORP,4300 Wilson Boulevard,Arlington,VA,22203,100,221112
1005972,110027164164,2022,AES HAWAII INC,91-086 KAOMI LP,KAPOLEI,HI,96707,HONOLULU COUNTY,1,AES CORP,4300 Wilson Boulevard,Arlington,VA,22203,100,221112
1009888,110039345045,2022,Salt River Project - T & D Equipment,1521 N. Project Drive,Tempe,AZ,85281,MARICOPA COUNTY,1,AES CORP,4300 Wilson Boulevard,Arlington,VA,22203,0.07,221121
1014447,,2022,AFK & Company Inc.,6755 Mira Mesa blvd,San Diego,CA,92121,,1,AFK & Co Inc,6755 Mira Mesa blvd 418,San Diego,CA,92121,100,
1007333,110003253121,2022,AGC FLAT GLASS N AMERICA INC,201 DUNCANNON LANE,RICHMOND,KY,40475,MADISON COUNTY,1,AGC AMERICA INC,11175 Cicero Drive Suite 400,Alpharetta,GA,30022,100,327211
1002380,110070288634,2022,AGRIUM US BORGER NITROGEN OPERATIONS,9201 FM 1551,BORGER,TX,79007,HUTCHINSON COUNTY,1,AGRIUM US INC,2323 115Th Avenue,Greeley,CO,80634,100,325311
1004236,110007030186,2022,AGRIUM US INC - KFO,227515 E BOWLES ROAD,KENNEWICK,WA,99337,BENTON COUNTY,1,AGRIUM US INC,2323 115Th Avenue,Greeley,CO,80634,100,325311
1002121,110000483227,2022,AIR PRODUCTS & CHEMICALS INC MARTINEZ WATERFRONT ROAD,110 WATERFRONT RD,MARTINEZ,CA,94553,CONTRA COSTA COUNTY,1,AIR PRODUCTS & CHEMICALS INC,1940 Air Products Blvd,Allentown,PA,18106,100,325120
1002122,110071160496,2022,"AIR PRODUCTS & CHEMICALS, INC, Tesoro Martinez",,MARTINEZ,CA,94553,CONTRA COSTA COUNTY,1,AIR PRODUCTS & CHEMICALS INC,1940 Air Products Blvd,Allentown,PA,18106,100,325120
1002123,110000750358,2022,AIR PRODUCTS AND CHEMICALS INCORPORATED,5025 83RD STREET,SACRAMENTO,CA,95826,SACRAMENTO COUNTY,1,AIR PRODUCTS & CHEMICALS INC,1940 Air Products Blvd,Allentown,PA,18106,100,325120
1002257,110002305443,2022,AIR PRODUCTS CARSON HYDROGEN PLANT,23300 SOUTH ALAMEDA STREET,CARSON,CA,90810,LOS ANGELES COUNTY,1,AIR PRODUCTS & CHEMICALS INC,7201 Hamilton Boulevard,Allentown,PA,18195,100,325120
1002430,110012710423,2022,AIR PRODUCTS BAYTOWN PLANT,5503 WEST BAKER ROAD,BAYTOWN,TX,77520,HARRIS COUNTY,1,AIR PRODUCTS & CHEMICALS INC,7201 Hamilton Boulevard,Allentown,PA,18195,100,325120
1002435,110000476084,2022,AIR PRODUCTS WILMINGTON HYDROGEN PLANT,700 HENRY FORD AVENUE,WILMINGTON,CA,90744,LOS ANGELES COUNTY,1,AIR PRODUCTS & CHEMICALS INC,7201 Hamilton Boulevard,Allentown,PA,18195,100,325120
1002698,110006020304,2022,AIR PRODUCTS & CHEMICALS INC - Geismar SMR,8013 HWY 3251,GEISMAR,LA,70734,ASCENSION PARISH,1,AIR PRODUCTS & CHEMICALS INC,7201 Hamilton Boulevard,Allentown,PA,18195,100,325120
1002727,110071161564,2022,AIR PRODUCTS AND CHEMICALS INC - GARYVILLE,4663 W AIRLINE HWY,GARYVILLE,LA,70051,ST. JOHN THE BAPTIST PARISH,1,AIR PRODUCTS & CHEMICALS INC,7201 Hamilton Boulevard,Allentown,PA,18195,100,325120
1003009,110071159605,2022,AIR PRODUCTS & CHEMICALS INC - INDUSTRIAL GAS PRODUCTION FACILITY,14700 INTRACOASTAL DRIVE,NEW ORLEANS,LA,70129,ORLEANS PARISH,1,AIR PRODUCTS & CHEMICALS INC,7201 Hamilton Boulevard,Allentown,PA,18195,100,325120
1003013,110017619861,2022,AIR PRODUCTS & CHEMICAL INC - LAKE CHARLES FACILITY,102 TROUSDALE RD,WESTLAKE,LA,70669,CALCASIEU PARISH,1,AIR PRODUCTS & CHEMICALS INC,7201 Hamilton Boulevard,Allentown,PA,18195,100,325120
1003160,110000463622,2022,Air Products La Porte Facility,10202 Strang Rd,La Porte,TX,77571,HARRIS COUNTY,1,AIR PRODUCTS & CHEMICALS INC,1940 Air Products Boulevard,Allentown,PA,18106,100,325120
1004442,110067124258,2022,Air Products LLC - Corpus Christi,5401 Up River Road,Corpus Christi,TX,78407,NUECES COUNTY,1,AIR PRODUCTS & CHEMICALS INC,1940 Air Products Boulevard,Allentown,PA,18106,100,325120
1004586,110071160219,2022,"Air Products and Chemicals, Inc. - BR SMR",2 Gulf States Utility Rd,"Baton Rouge, La",LA,70805,EAST BATON ROUGE PARISH,1,AIR PRODUCTS & CHEMICALS INC,1940 Air Products Blvd.,Allentown,PA,18106-5500,100,325120
1005809,110071160505,2022,AIR PRODUCTS AND CHEMICALS INC - CATLETTSBURG HYDROGEN PLANT,11631 US Route 23,CATLETTSBURG,KY,41129,BOYD COUNTY,1,AIR PRODUCTS & CHEMICALS INC,1940 Air Products Boulevard,Allentown,PA,18106-5500,100,325120
1005852,110071160999,2022,"Air Products and Chemicals, Inc. - Joliet, IL H2 Plant",25915 S.E. Frontage Road (c/o ExxonMobil),Channahon,IL,60410,WILL COUNTY,1,AIR PRODUCTS & CHEMICALS INC,1940 Air Products Boulevard,Allentown,PA,18106-5500,100,325120
1006402,110043802819,2022,Air Products Port Arthur Facility,1801 S Gulfway Dr within Valero Refinery,Port Arthur,TX,77640,JEFFERSON COUNTY,1,AIR PRODUCTS & CHEMICALS INC,1940 Air Products Blvd.,Allentown,PA,18106,100,325120
1006943,110059763000,2022,Air Products LLC - Pasadena SMR,1435 Highway 225,Pasadena,TX,77506,HARRIS COUNTY,1,AIR PRODUCTS & CHEMICALS INC,1940 Air Products Boulevard,Allentown,PA,18106,100,325120
1010506,110071159441,2022,Air Products and Chemicals Inc. Luling SMR Facility,12501 River Road B,Luling,LA,70070,ST. CHARLES PARISH,1,AIR PRODUCTS & CHEMICALS INC,7201 Hamilton Boulevard,Allentown,PA,18195,100,325120
1010625,110067126096,2022,Air Products and Chemicals Inc./Detroit Hydrogen Facility Marathon Refinery,1025 Oakwood Blvd,Detroit,MI,48217,WAYNE COUNTY,1,AIR PRODUCTS & CHEMICALS INC,1940 Air Products Blvd,Allentown,PA,19464,100,325120
1011460,110055569567,2022,Air Products and Chemicals - Norco SMR,14885 Airline Drive,Norco,LA,70079,ST. CHARLES PARISH,1,AIR PRODUCTS & CHEMICALS INC,1940 Air Products Boulevard,Allentown,PA,18106-5500,100,325120
1013205,110070200837,2022,Air Products Baytown 3 Facility,7714 West Bay Rd.,Baytown,TX,77523,CHAMBERS COUNTY,1,AIR PRODUCTS & CHEMICALS INC,1940 Air Products Boulevard,Allentown,PA,18106,100,325120
1013917,110070930969,2022,Air Products - Geismar 3 HYCO,9150 Hwy 75,Geismar,LA,70734,ASCENSION PARISH,1,AIR PRODUCTS & CHEMICALS INC,7201 Hamilton Boulevard,Allentown,PA,18195,100,325120
1014231,110054584008,2022,Air Products H2 SMR Plant at DCRC (Unit 37),4550 Wrangle Hill Road,Delaware City,DE,19706,NEW CASTLE COUNTY,1,AIR PRODUCTS & CHEMICALS INC,1940 Air Products Blvd,Allentown,PA,19464,100,325120
1014323,,2022,Air Products West Coast Hydrogen - HP-1,3485 Pacheco Blvd.,Martinez,CA,94553,,1,AIR PRODUCTS & CHEMICALS INC,1940 Air Products Blvd,Allentown,PA,18106,100,325120
1014324,,2022,Air Products West coast Hydrogen - HP-2,1915 Shell Avenue,Martinez,CA,94553,,1,AIR PRODUCTS & CHEMICALS INC,1940 Air Products Blvd,Allentown,PA,18106,100,325120
1014612,,2022,Air Products West Coast Hydrogen LLC - Torrance,3700 W 190th St. #U4/24,Torrance,CA,90504,,1,AIR PRODUCTS & CHEMICALS INC,1940 Air Products Blvd,Allentown,PA,18106,100,325120
1001919,110071162246,2022,AHN Heartland Ingredients,1116 Highway 137,EDDYVILLE,IA,52553,MONROE COUNTY,1,AJINOMOTO HEALTH & NUTRITION NORTH AMERICA INC,250 East Devon Avenue,Itasca,IL,60143,100,311119
1003402,110056955987,2022,ALBEMARLE CORPORATION HOUSTON PLANT,2500 N. SOUTH ST.,PASADENA,TX,77503,HARRIS COUNTY,1,ALBEMARLE CORP,4250 Congress St. Suite 900,Charlotte,NC,28209,100,325199
1003570,110071160482,2022,Albemarle Corporation Bayport Plant,13000 Bay Park Road,Pasadena,TX,77507,HARRIS COUNTY,1,ALBEMARLE CORP,4250 Congress St. Suite 900,Charlotte,NC,28209,100,325180
1004307,110000743508,2022,ALBEMARLE CORPORATION-SOUTH PLANT,2270 HWY 79 SOUTH OF MAGNOLIA,MAGNOLIA,AR,71753,COLUMBIA COUNTY,1,ALBEMARLE CORP,4250 Congress St. Suite 900,Charlotte,NC,28209,100,325180
1001877,110000602045,2022,ALCOA INC - WARRICK OPERATIONS,,NEWBURGH,IN,47629,WARRICK COUNTY,1,ALCOA CORP,"201 Isabella Street, Suite 500",Pittsburgh,PA,15212,100,331313
1003562,110040947820,2022,ALCOA INTALCO WORKS,4050 MOUNTAIN VIEW RD.,FERNDALE,WA,98248,WHATCOM COUNTY,1,ALCOA CORP,"201 Isabella Street, Suite 500",Pittsburgh,PA,15212,100,331313
1007283,110000449499,2022,"Reynolds Metals Company, LLC",4040 West Tank Farm ROAD,LAKE CHARLES,LA,70605,CALCASIEU PARISH,1,ALCOA CORP,"201 Isabella Street, Suite 500",Pittsburgh,PA,15212,100,324199
1012517,110070069670,2022,Alcoa USA Corp.,1814 State Highway 131,Massena,NY,13662,ST. LAWRENCE COUNTY,1,ALCOA CORP,"201 Isabella Street, Suite 500",Pittsburgh,PA,15212,100,331313
1003448,110001138572,2022,"Alcon Vision, LLC",6201 SOUTH FREEWAY,FORT WORTH,TX,76134,TARRANT COUNTY,1,ALCON LABORATORIES INC,6201 South Freeway,Fort Worth,TX,76134,100,325412
1004803,110043812078,2022,Palailai Landfill,91-402 Farrington Highway,Kapolei,HI,96707,HONOLULU COUNTY,1,ALEXANDER & BALDWIN INC,822 Bishop Street,Honolulu,HI,96813,100,562212
1004873,110071229967,2022,Asphalt Hawaii Kalaeloa Asphalt Terminal,91-550 Malakole Street,Kapolei,HI,96707,HONOLULU COUNTY,1,ALEXANDER & BALDWIN INC,822 Bishop Street,Honolulu,HI,96813,70,424710
1005265,110001093165,2022,Hawaiian Commercial and Sugar Company,1 HANSEN ROAD,PUUNENE,HI,96784,MAUI COUNTY,1,ALEXANDER & BALDWIN INC,822 Bishop Street,Honolulu,HI,96813,100,531120
1004730,110000329797,2022,"JESSOP STEEL, LLC WASHINGTON FACILITY",500 GREEN STREET,WASHINGTON,PA,15301,WASHINGTON COUNTY,1,ALLEGHENY TECHNOLOGIES INC,1000 Six Ppg Place,Pittsburgh,PA,15222,100,331110
1005003,110000328734,2022,BRACKENRIDGE PLANT,100 RIVER ROAD,BRACKENRIDGE,PA,15014,ALLEGHENY COUNTY,1,ALLEGHENY TECHNOLOGIES INC,1000 Six Ppg Place,Pittsburgh,PA,15222,100,331110
1005005,110014402306,2022,VANDERGRIFT FACILITY,130 LINCOLN AVENUE,VANDERGRIFT,PA,15690,WESTMORELAND COUNTY,1,ALLEGHENY TECHNOLOGIES INC,1000 Six Ppg Place,Pittsburgh,PA,15222,100,331110
1005442,110000417228,2022,ATI LADISH LLC,5481 S PACKARD AVE,CUDAHY,WI,53110,MILWAUKEE COUNTY,1,ALLEGHENY TECHNOLOGIES INC,1000 Six Ppg Place,Pittsburgh,PA,15222,100,332111
1006778,110000348589,2022,"ATI Specialty Materials, Monroe Plant",2020 ASHCRAFT AVENUE,MONROE,NC,28110,UNION COUNTY,1,ALLEGHENY TECHNOLOGIES INC,1000 Six Ppg Place,Pittsburgh,PA,15222,100,331492
1008994,110070755818,2022,Jewel Acquisition - Louisville Facility,1500 West Main Street,Louisville,OH,44641,STARK COUNTY,1,ALLEGHENY TECHNOLOGIES INC,1000 Six Ppg Place,Pittsburgh,PA,15222,100,331110
1000149,110068447504,2022,Taconite Harbor Energy Center,8124 West Highway 61,SCHROEDER,MN,55613,Cook,1,ALLETE INC,30 West Superior Street,Duluth,MN,55802,100,221112
1000686,110070540837,2022,Laskin Energy Center,5699 Colby Lake Road,Hoyt Lakes,MN,55750,St. Louis,1,ALLETE INC,30 West Superior Street,Duluth,MN,55802,100,221112
1000687,110071161466,2022,Boswell Energy Center,1200 NW 3RD ST,COHASSET,MN,55721,Itasca,1,ALLETE INC,30 West Superior Street,Duluth,MN,55802,90,221112
1000688,110007601540,2022,Hibbard Energy Center,4913 MAIN ST,DULUTH,MN,55807,St. Louis,1,ALLETE INC,30 West Superior Street,Duluth,MN,55802,100,221330
1002966,110008762375,2022,Rapids Energy Center,502 NW 3rd St.,Grand Rapids,MN,55744,ITASCA COUNTY,1,ALLETE INC,30 West Superior Street,Duluth,MN,55802,100,221330
1009492,110071161192,2022,"SUPERIOR WATER, LIGHT and POWER COMPANY",2915 HILL AVENUE,SUPERIOR,WI,54880,DOUGLAS COUNTY,1,ALLETE INC,30 West Superior Street,Duluth,MN,55802,100,221122
1000136,110013294087,2022,Riverside Energy Center,1401 W B R TOWN LINE ROAD,BELOIT,WI,53511,Rock,1,ALLIANT ENERGY CORP,4902 N. Biltmore Lane,Madison,WI,53718,91,221112
1000317,110015656388,2022,Emery Station,11295 230TH ST,CLEAR LAKE,IA,50428,Cerro Gordo,1,ALLIANT ENERGY CORP,4902 N. Biltmore Lane,Madison,WI,53718,100,221112
1000445,110071160633,2022,Sheboygan Falls Energy Facility,N5845 BRIDGEWOOD ROAD,PLYMOUTH,WI,53073,Sheboygan,1,ALLIANT ENERGY CORP,4902 N. Biltmore Lane,Madison,WI,53718,100,221112
1000983,110000416871,2022,Edgewater (4050),3739 LAKESHORE DR,SHEBOYGAN,WI,53802,Sheboygan,1,ALLIANT ENERGY CORP,4902 N. Biltmore Lane,Madison,WI,53718,100,221112
1001050,110000415202,2022,Ottumwa,20775 POWER PLANT ROAD,OTTUMWA,IA,52548,Wapello,1,ALLIANT ENERGY CORP,4902 N. Biltmore Lane,Madison,WI,53718,48,221112
1001060,110000415783,2022,Louisa,8602 172 ST,MUSCATINE,IA,52761,Louisa,1,ALLIANT ENERGY CORP,"4902 N. Biltmore Lane, Suite 1000",Madison,WI,53718,4,221112
1001091,110013863186,2022,South Fond Du Lac,5356 RIVER RD,FOND DU LAC,WI,54935,Fond du Lac,1,ALLIANT ENERGY CORP,4902 N. Biltmore Lane,Madison,WI,53718,100,221112
1001117,110000414114,2022,George Neal South,2761 PORT NEAL CIRCLE,SALIX,IA,51052,Woodbury,1,ALLIANT ENERGY CORP,"4902 N. Biltmore Lane, Suite 1000",Madison,WI,53718,25.7,221112
1001186,110000420385,2022,Columbia,W8375 MURRAY RD,PARDEEVILLE,WI,53954,Columbia,1,ALLIANT ENERGY CORP,4902 N. Biltmore Lane,Madison,WI,53718,53.5,221112
1001332,110040965462,2022,Neenah Energy Facility,200 COUNTY ROAD CB,NEENAH,WI,54956,Winnebago,1,ALLIANT ENERGY CORP,4902 N. Biltmore Lane,Madison,WI,53718,100,221112
1001548,110017344337,2022,Prairie Creek,3300 C ST SW,CEDAR RAPIDS,IA,52404,Linn,1,ALLIANT ENERGY CORP,4902 N. Biltmore Lane,Madison,WI,53718,100,221112
1001549,110071160312,2022,Sutherland,3000 E MAIN ST RD,MARSHALLTOWN,IA,50158,Marshall,1,ALLIANT ENERGY CORP,4902 N. Biltmore Lane,Madison,WI,53718,100,221112
1001553,110000415355,2022,Burlington (IA),4282 SULLIVAN SLOUGH ROAD,BURLINGTON,IA,52601,Des Moines,1,ALLIANT ENERGY CORP,4902 N. Biltmore Lane,Madison,WI,53718,100,221112
1001612,110001323318,2022,George Neal North,1151   260th ST,SERGEANT BLUFF,IA,51054,Woodbury,1,ALLIANT ENERGY CORP,"4902 N. Biltmore Lane, Suite 1000",Madison,WI,53718,15.18,221112
1002025,110071161924,2022,Wisconsin Power & Light Gas Distribution,4902 North Biltmore Lane,Madison,WI,53718,DANE COUNTY,1,ALLIANT ENERGY CORP,4902 N. Biltmore Lane,Madison,WI,53718,100,221210
1002151,110071161778,2022,Interstate Power & Light Gas Distribution,200 1st Street SE,Cedar Rapids,IA,52401,LINN COUNTY,1,ALLIANT ENERGY CORP,4902 North Biltmore Lane,Madison,WI,53718,100,221210
1005672,110071160510,2022,Rock River,827 W B R TOWNLINE RD,BELOIT,WI,53511,Rock,1,ALLIANT ENERGY CORP,4902 N. Biltmore Lane,Madison,WI,53718,100,221112
1007419,110015649592,2022,Lansing,2320 POWER PLANT DRIVE,LANSING,IA,52151,Allamakee,1,ALLIANT ENERGY CORP,4902 N. Biltmore Lane,Madison,WI,53718,100,221112
1000048,110070030311,2022,"ALLISON TRANSMISSION, Inc.",One Allison Way,INDIANAPOLIS,IN,46222,MARION COUNTY,1,ALLISON TRANSMISSION HOLDINGS INC,One Allison Way,Indianapolis,IN,46222,100,336350
1008262,110000487027,2022,"Jireh Semiconductor, Inc.",3131 Ne Brookwood Pkwy,Hillsboro,OR,97124,WASHINGTON COUNTY,1,ALPHA & OMEGA SEMICONDUCTOR,475 Oakmead Pkwy,Sunnyvale,CA,94085,100,334413
1005297,110071161468,2022,KEPLER PROCESSING CO POCAHONTAS NO 51 COAL PREP PLANT,,PINEVILLE,WV,24874,WYOMING COUNTY,1,ALPHA METALLURGICAL RESOURCES INC,340 Martin Luther King Jr Blvd,Bristol,TN,37620,100,
1009821,110055517114,2022,Deep Mine 41,5703 Crutchfield Drive,Norton,VA,24273,WISE COUNTY,1,ALPHA METALLURGICAL RESOURCES INC,340 Martin Luther King Jr Blvd,Bristol,TN,37620,90,
1009821,110055517114,2022,Deep Mine 41,5703 Crutchfield Drive,Norton,VA,24273,WISE COUNTY,1,ALPHA METALLURGICAL RESOURCES INC,340 Martin Luther King Jr Blvd,Bristol,TN,37620,10,
1009920,110055518355,2022,Alma No. 1 Mine,1421 Band Mill Hollow Rd,Ethel,WV,25076,LOGAN COUNTY,1,ALPHA METALLURGICAL RESOURCES INC,340 Martin Luther King Jr Blvd,Bristol,TN,37620,100,
